Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge2-1,Charge2-1,IR2-1,Temp2-1
High,1935,1.0692,1.0687,0.016,34.5454,0.0009,0.0011,0,0.0063
High,1836,1.0665,1.0659,0.0156,32.7598,0.001,0.0009,-1.00E-04,-0.0487
High,1801,1.0688,1.0685,0.0158,32.6151,0.0007,0.0007,-0.0001,-0.0317
High,1642,1.0657,1.065,0.0164,32.6613,0.0012,0.0015,0,0.0315
High,1638,1.0606,1.0591,0.0155,34.8647,0.0004,0.0002,0,-0.0363
High,1390,1.0489,1.0451,0.015,35.1203,-0.0023,0.0003,-1.00E-04,0.2899
High,1315,1.0653,1.0638,0.0156,34.856,0.0012,0.0012,-1.00E-04,-0.009
High,1284,1.0594,1.0593,0.0156,33.017,0.0009,0.0008,-1.00E-04,-0.012
High,1267,1.06,1.059,0.0149,36.0717,0.0008,0.0009,0,0.0699
High,1227,1.0784,1.0785,0.0168,31.6591,0.0006,0.0004,-1.00E-04,0.0231
High,1226,1.0797,1.0793,0.0164,30.2456,0.0015,0.0014,-0.0001,0.0678
High,1190,1.0707,1.071,0.0167,31.875,0.0012,0.0007,0,0.0565
High,1179,1.0753,1.0751,0.017,31.6688,0.0013,0.0013,0,0.0539
High,1177,1.0799,1.0798,0.0169,31.8254,0.0014,0.0013,-1.00E-04,0.0501
High,1158,1.0602,1.0599,0.0155,35.5876,0.0013,0.0011,-1.00E-04,0.0253
High,1156,1.0464,1.0461,0.0157,33.8089,0.001,0.0007,0,0.0072
High,1155,1.0706,1.0698,0.0156,34.9547,0.0013,0.0014,0,0.0044
High,1146,1.0675,1.0666,0.0151,35.1045,0.0005,0.0013,0,0.0099
High,1115,1.0623,1.0614,0.0149,36.337,0.0006,0.0008,1.00E-04,-0.1819
High,1093,1.0626,1.062,0.0155,35.3096,0.0008,0.001,0,0.0202
High,1078,1.0609,1.0587,0.0155,32.4696,0.0009,0.0024,1.00E-04,-0.0276
High,1074,1.0761,1.0761,0.0164,30.9986,0.0006,0.0005,0,0.0044
High,1063,1.0642,1.0635,0.0152,34.6654,0.0009,0.0008,0,-0.0243
High,1061,1.0296,1.0263,0.017,32.9249,0.0021,0.0036,-0.0002,-0.2017
High,1054,1.083,1.0819,0.017,32.6311,0.0007,0.0012,-0.0001,-0.0476
High,1051,1.079,1.0794,0.0169,33.0092,0.0013,0.0012,-1.00E-04,-0.0183
High,1048,1.0717,1.0711,0.0153,32.024,0.0008,0.0008,-1.00E-04,-0.0147
High,1046,1.0692,1.0685,0.016,33.5603,0.001,0.0012,-0.0002,0.1991
High,1039,1.0684,1.0676,0.0159,33.0459,0.0011,0.0012,0,-0.0464
High,1028,1.071,1.0702,0.0157,35.5688,0.001,0.0013,0,0.0165
High,1017,1.0745,1.0744,0.0167,33.3119,0.001,0.0009,-1.00E-04,-0.036
High,1014,1.0793,1.0796,0.0169,31.902,0.0013,0.0011,0,-0.0243
High,1009,1.0666,1.0661,0.0154,32.1495,0.0009,0.0009,0,-0.0429
High,1002,1.0551,1.0546,0.0159,34.4108,0.0012,0.0012,0,0.0185
High,989,1.0601,1.0596,0.0158,35.4789,0.001,0.0011,0,-0.0142
High,982,1.0245,1.0205,0.0172,32.7034,0.002,0.0037,-1.00E-04,-0.2115
High,966,1.0833,1.084,0.0168,33.4184,0.0013,0.0012,-1.00E-04,-0.0517
High,940,1.0686,1.068,0.0157,33.2741,0.0011,0.0012,0,0.0001
High,935,1.0675,1.0667,0.0158,32.2082,0.0012,0.0014,-0.0001,-0.0517
High,932,1.0732,1.0725,0.0162,33.1047,0.001,0.0012,-1.00E-04,-0.0147
High,923,1.0574,1.0572,0.0153,35.6798,0.0001,0,0,0.0651
High,917,1.0795,1.0796,0.0166,32.6111,0.0012,0.0012,0,0.0033
High,906,1.0753,1.0746,0.0166,33.4389,0.0009,0.0011,0,0.045
High,902,1.0776,1.0773,0.0166,33.3877,0.001,0.0011,-1.00E-04,0.0041
High,897,1.0798,1.0798,0.0172,32.0204,0.0013,0.0012,-1.00E-04,0.0189
High,891,1.0793,1.0795,0.0167,32.7523,0.0013,0.0012,0,0.002
High,880,1.071,1.0702,0.0171,33.1877,0.0011,0.0012,0,0.0313
High,879,1.09,1.0898,0.0168,32.0304,0.0013,0.0013,0,0.0448
High,876,1.0946,1.0947,0.017,30.3394,0.0013,0.0012,-0.0001,-0.0073
High,876,1.0678,1.067,0.0154,33.346,0.0006,0.0012,0,0.0018
High,870,1.0939,1.0936,0.0163,32.1513,0.0012,0.0014,0,0.0028
High,870,1.0877,1.088,0.0164,33.1042,0.0011,0.0012,-0.0001,-0.06
High,862,1.0812,1.0806,0.0168,32.3819,0.0012,0.0012,0,-0.0018
High,860,1.0777,1.0773,0.0167,33.6656,0.0014,0.0013,0,-0.0071
High,858,1.0716,1.0712,0.0157,33.0623,0.0011,0.0008,0,-0.0285
High,858,1.0652,1.0648,0.015,31.251,0.0012,0.0011,0,-0.0078
High,857,1.0721,1.072,0.0168,31.9373,0.0012,0.0012,-1.00E-04,0.0519
High,854,1.0752,1.0748,0.0167,33.7738,0.0011,0.001,0,0.0283
High,850,1.0593,1.0587,0.0151,35.1677,0.0011,0.0013,0,0.0429
High,842,1.079,1.0795,0.0162,33.7979,0.0012,0.0011,-1.00E-04,-0.0198
High,828,1.0501,1.0484,0.0154,35.22,0.0014,0.0018,0,0.0087
High,828,1.0637,1.0633,0.0155,32.9634,0.001,0.0011,-1.00E-04,-0.042
High,825,1.0452,1.0448,0.0158,34.6196,0.0011,0.0013,0,0.0128
